variable,estimate,lci,uci,type,group,est_ci,n
w_sbp,122.3,121.3,123.3,Continuous,NA,"122.3 (121.3, 123.3)",3148
w_dbp,82.1,81.4,82.7,Continuous,NA,"82.1 (81.4, 82.7)",3148
w_weight,3213.2,3006.5,3419.9,Continuous,NA,"3213.2 (3006.5, 3419.9)",4323
w_height,3918.9,3733.6,4104.1,Continuous,NA,"3918.9 (3733.6, 4104.1)",4323
w_glucose,115.1,113.1,117.1,Continuous,NA,"115.1 (113.1, 117.1)",2569
w_bmi,23.8,23.5,24,Continuous,NA,"23.8 (23.5, 24)",3256
w_waistcircumference,81,80.4,81.6,Continuous,NA,"81 (80.4, 81.6)",3245
w_hipcircumference,93.7,93.1,94.3,Continuous,NA,"93.7 (93.1, 94.3)",3241
w_age,34.4,34,34.7,Continuous,NA,"34.4 (34, 34.7)",4333
w_eduyr,7.3,7,7.5,Continuous,NA,"7.3 (7, 7.5)",4333
h_sbp,143.9,142,145.8,Continuous,NA,"143.9 (142, 145.8)",1742
h_dbp,95.6,94.4,96.8,Continuous,NA,"95.6 (94.4, 96.8)",1742
h_weight,6418.6,6207.4,6629.8,Continuous,NA,"6418.6 (6207.4, 6629.8)",4310
h_height,6795.7,6606.8,6984.5,Continuous,NA,"6795.7 (6606.8, 6984.5)",4309
h_glucose,124.6,119.9,129.3,Continuous,NA,"124.6 (119.9, 129.3)",891
h_bmi,23.9,23.6,24.1,Continuous,NA,"23.9 (23.6, 24.1)",1868
h_waistcircumference,86.1,85.3,86.9,Continuous,NA,"86.1 (85.3, 86.9)",1866
h_hipcircumference,93.2,92.6,93.9,Continuous,NA,"93.2 (92.6, 93.9)",1865
h_age,39.2,38.9,39.6,Continuous,NA,"39.2 (38.9, 39.6)",4333
h_eduyr,8.6,8.4,8.9,Continuous,NA,"8.6 (8.4, 8.9)",4333
nmembers,5.5,5.4,5.6,Continuous,NA,"5.5 (5.4, 5.6)",4333
hh_children,2.3,2.3,2.4,Continuous,NA,"2.3 (2.3, 2.4)",4333
w_diagnosed_bp,11.7,10.4,13,Proportion,NA,"11.7 (10.4, 13)",4333
w_treated_bp,7.4,6.3,8.4,Proportion,NA,"7.4 (6.3, 8.4)",4333
w_diagnosed_dm,3.3,2.4,4.1,Proportion,NA,"3.3 (2.4, 4.1)",4333
w_treated_dm,2.9,2.1,3.8,Proportion,NA,"2.9 (2.1, 3.8)",4333
w_tobacco_any,4.8,3.9,5.6,Proportion,NA,"4.8 (3.9, 5.6)",4333
w_alcohol,1.1,0.7,1.4,Proportion,NA,"1.1 (0.7, 1.4)",4333
w_dm,6.5,5,7.9,Proportion,NA,"6.5 (5, 7.9)",2589
