iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model,outcome,Coefficient
(Intercept),Conditional,1.6142580201415675e-4,0.1127712950341709,-6.846145779602474,8862,0.11294886341638646,0.0015721130504958323,37452.30160348618,3641455.135796561,8824.634349094395,-7.504848061437224,-6.187443497767724,0.3360786565915581,"0.00 (0.00, 0.00)",5.504094724148264e-4,0.002055073844188796,SW1,Diabetes,NA
factor(state)10,Conditional,3.235492611738877e-6,0.032922185101812336,-0.1858886315034765,8862,0.03292574414368525,1.0809298211701451e-4,7717774.711585657,770278032.465973,8858.941085376542,-0.5415329631976166,0.16975570019066355,0.1814545236241997,"0.83 (0.58, 1.19)",0.5818556051221261,1.1850153169392195,SW1,Diabetes,NA
factor(state)11,Conditional,1.7218617837419906e-6,0.18673523130485503,0.0368869653165162,8862,0.18673712535281714,1.0142857016448207e-5,874986170.7362207,87482644513.43709,8859.027473262036,-0.8100740593814879,0.8838479900145204,0.43213091228563727,"1.04 (0.44, 2.42)",0.44482512152965364,2.4201946964586845,SW1,Diabetes,NA
factor(state)12,Conditional,1.5901506276512927e-6,0.047104519823124,-0.3237566102067566,8862,0.04710626898881441,3.713233350813177e-5,65317303.98432008,6527366894.871542,8859.027473262036,-0.7491467753307055,0.10163355491719234,0.21703978664939388,"0.72 (0.47, 1.11)",0.47276975952528955,1.1069777508416883,SW1,Diabetes,NA
factor(state)13,Conditional,1.100831411339392e-6,0.15477682455567213,-1.0338678105426446,8862,0.1547780354702246,7.8235555115718e-6,1470602600.2301424,147039552596.17584,8859.027473262036,-1.8049537004515386,-0.26278192063375083,0.3934183974730015,"0.36 (0.16, 0.77)",0.16448207184651825,0.768909562338412,SW1,Diabetes,NA
factor(state)14,Conditional,4.903437464851481e-6,0.14642563614123907,-1.0785064620420373,8862,0.1464310299224504,3.683496055578633e-5,66375834.3764676,6633184712.896101,8859.027473262036,-1.8285123098353766,-0.32850061424869803,0.3826630762465206,"0.34 (0.16, 0.72)",0.16065239106570683,0.7200024859650951,SW1,Diabetes,NA
factor(state)15,Conditional,1.4487359534303513e-6,0.09578524086110717,-0.4309347312122981,8862,0.09578683447065593,1.6637041589067077e-5,325252281.7389693,32515490136.786415,8859.027473262036,-1.0375327696290602,0.17566330720446388,0.3094944821328095,"0.65 (0.35, 1.19)",0.35432781274934994,1.1920366409282184,SW1,Diabetes,NA
factor(state)16,Conditional,1.1026999206357924e-5,0.12945309349014222,-0.3065722534822576,8862,0.12946522318926923,9.369079068639873e-5,10270244.946064096,1025294673.5706488,8859.027473262036,-1.0117923076268949,0.39864780066237937,0.3598127612929664,"0.74 (0.36, 1.49)",0.3635667717696804,1.4898088165169945,SW1,Diabetes,NA
factor(state)17,Conditional,1.1506158279737452e-6,0.11034096850404929,-0.044459037576397895,8862,0.11034223418146005,1.1470471122504985e-5,684178875.8888651,68403763638.76766,8859.027473262036,-0.6955159850137683,0.6065979098609724,0.3321780158009558,"0.96 (0.50, 1.83)",0.49881699947471947,1.8341807239767316,SW1,Diabetes,NA
factor(state)18,Conditional,9.338054109070586e-7,0.03173259927973041,-0.07216081160786693,8862,0.03173362646568241,3.236900620572284e-5,85948198.67788732,8589814351.216004,8859.027473262036,-0.42130751334448974,0.2769858901287559,0.17813934564178238,"0.93 (0.66, 1.32)",0.6561882837262026,1.3191477578986288,SW1,Diabetes,NA
factor(state)19,Conditional,1.9946152540802166e-6,0.032715598502122016,-0.22044112353001244,8862,0.032717792578901506,6.70606604708142e-5,20036918.50532114,2001275398.2323036,8859.027473262036,-0.5749605913281696,0.13407834426814463,0.1808806031029903,"0.80 (0.56, 1.14)",0.5627270446954262,1.1434824014273677,SW1,Diabetes,NA
