spouse_htn,spouse_diagnosed_bp,variable,estimate,lci,uci,type,est_ci,sex
0,0,w_diagnosed_bp,51.1,49.2,53,Proportion,"51.1 (49.2, 53)",Wife
0,0,w_treated_bp,27.4,25.6,29.2,Proportion,"27.4 (25.6, 29.2)",Wife
1,0,w_diagnosed_bp,42,39,45,Proportion,"42 (39, 45)",Wife
1,0,w_treated_bp,24.8,22.2,27.3,Proportion,"24.8 (22.2, 27.3)",Wife
1,1,w_diagnosed_bp,71.6,68,75.2,Proportion,"71.6 (68, 75.2)",Wife
1,1,w_treated_bp,27.8,24.4,31.1,Proportion,"27.8 (24.4, 31.1)",Wife
NA,NA,w_diagnosed_bp,52.4,50.8,54,Proportion,"52.4 (50.8, 54)",Wife
NA,NA,w_treated_bp,26.8,25.4,28.2,Proportion,"26.8 (25.4, 28.2)",Wife
0,0,h_diagnosed_bp,26.9,25.6,28.2,Proportion,"26.9 (25.6, 28.2)",Husband
0,0,h_treated_bp,16.4,15.2,17.5,Proportion,"16.4 (15.2, 17.5)",Husband
1,0,h_diagnosed_bp,25.9,22.8,29,Proportion,"25.9 (22.8, 29)",Husband
1,0,h_treated_bp,18.1,15.1,21.1,Proportion,"18.1 (15.1, 21.1)",Husband
1,1,h_diagnosed_bp,54.9,51.8,58,Proportion,"54.9 (51.8, 58)",Husband
1,1,h_treated_bp,21.1,18.6,23.7,Proportion,"21.1 (18.6, 23.7)",Husband
NA,NA,h_diagnosed_bp,31.1,29.9,32.4,Proportion,"31.1 (29.9, 32.4)",Husband
NA,NA,h_treated_bp,17.3,16.3,18.4,Proportion,"17.3 (16.3, 18.4)",Husband
