variable,group,Wives_Analytic,Husbands_Analytic,Wives_Excluded,Husbands_Excluded
sbp,NA,"117.3 (117.1, 117.5)","125.3 (125.1, 125.5)","121.7 (120.8, 122.7)","143.4 (141.6, 145.3)"
dbp,NA,"78.8 (78.7, 78.9)","82.8 (82.7, 83)","81.6 (81, 82.2)","95.3 (94.2, 96.5)"
weight,NA,"540.1 (537, 543.2)","635.1 (630.6, 639.5)","3210.5 (3009.5, 3411.4)","6454.1 (6248.4, 6659.8)"
height,NA,"1528 (1525.3, 1530.7)","1645.9 (1641.6, 1650.2)","3916.8 (3736.6, 4096.9)","6827.8 (6643.9, 7011.7)"
glucose,NA,"113.9 (113.5, 114.3)","121.2 (120.6, 121.7)","114.8 (112.9, 116.7)","124.5 (119.9, 129.1)"
bmi,NA,"2302.7 (2295.1, 2310.3)","2329.3 (2323.1, 2335.5)","2370.8 (2348.7, 2393)","2383.1 (2358.8, 2407.4)"
waistcircumference,NA,"79.5 (79.3, 79.7)","83.8 (83.5, 84)","81.1 (80.5, 81.7)","86 (85.2, 86.7)"
hipcircumference,NA,"92.1 (91.9, 92.3)","91.8 (91.6, 92)","93.6 (93, 94.2)","93.2 (92.6, 93.8)"
age,NA,"33.5 (33.4, 33.6)","38.4 (38.3, 38.5)","34 (33.7, 34.3)","38.8 (38.5, 39.2)"
eduyr,NA,"6.8 (6.7, 6.9)","7.9 (7.8, 8)","7.3 (7, 7.6)","8.6 (8.4, 8.9)"
nmembers,NA,"5.5 (5.4, 5.5)",NA,"5.5 (5.4, 5.6)",NA
hh_children,NA,"2.3 (2.3, 2.3)",NA,"2.3 (2.2, 2.3)",NA
diagnosed_bp,NA,"10.6 (10.2, 11.1)","8.9 (8.5, 9.3)","11.5 (10.3, 12.8)","9 (7.9, 10)"
treated_bp,NA,"5.9 (5.6, 6.2)","5.3 (4.9, 5.6)","7.1 (6.1, 8.1)","6.2 (5.3, 7.1)"
diagnosed_dm,NA,"3.5 (3.2, 3.8)","5.7 (5.3, 6)","3.3 (2.5, 4.2)","2.4 (1.7, 3.2)"
treated_dm,NA,"2.3 (2.1, 2.5)","4.2 (3.9, 4.5)","2.8 (2, 3.6)","1.7 (1.1, 2.4)"
tobacco_any,NA,"5.3 (5, 5.6)","51.9 (51, 52.7)","4.6 (3.8, 5.4)","47.4 (45.1, 49.6)"
alcohol,NA,"1 (0.9, 1.2)","29 (28.3, 29.8)","1 (0.7, 1.4)","28 (25.9, 30)"
dm,NA,"4.4 (4.1, 4.6)","7.3 (7, 7.7)","6.5 (5, 7.9)","14.6 (10.9, 18.2)"
htn,NA,"20.1 (19.6, 20.7)","28.6 (28, 29.3)","29.8 (27.7, 31.9)","58.5 (55.5, 61.4)"
rural,NA,"69.2 (67.7, 70.7)",NA,"57.2 (54.2, 60.2)",NA
education,Higher,"12.2 (11.6, 12.8)","15.3 (14.7, 16)","16.3 (14.3, 18.4)","20.9 (18.9, 22.9)"
education,No education,"27 (26.3, 27.7)","15.8 (15.2, 16.3)","26 (24.3, 27.7)","14.1 (12.7, 15.4)"
education,Primary,"14.1 (13.7, 14.6)","15.8 (15.3, 16.3)","12.7 (11.3, 14.1)","13.3 (11.7, 14.8)"
education,Secondary,"46.7 (46, 47.4)","53.1 (52.4, 53.8)","45 (42.7, 47.2)","51.8 (49.6, 53.9)"
bmi_category,Underweight,"13.9 (13.4, 14.3)","9 (8.7, 9.4)","8.6 (7.5, 9.7)","3.1 (2.5, 3.7)"
bmi_category,Normal,"58.3 (57.6, 59)","61.8 (61.1, 62.5)","37.5 (35.5, 39.4)","21 (19.3, 22.6)"
